ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting
211663,3250000,İstanbul,Fatih,Dervişali Mah.,55,2+1,1,1 Yaşından Küçük,3,Doğalgaz (Kombi),Evet
188387,980000000,İstanbul,Üsküdar,Beylerbeyi Mah.,1080,10+,7,,4,Doğalgaz (Kombi),
203930,19500000.0,Kocaeli,Darıca,Bayramoğlu Mah.,430,7+2,4,26-30 Arası,4,Doğalgaz (Kombi),Evet
188719,35750000.0,İstanbul,Sarıyer,Yeni Mah.,200,5+1,2,11-15 Arası,3,Doğalgaz (Kombi),Evet
189366,11999000,Kocaeli,Karamürsel,Tepeköy Mah.,500,6+2,3,21-25 Arası,3,Merkezi Sistem,Evet
204852,645000,Balıkesir,Bandırma,Çınarlı Mah.,160,2+1,1,26-30 Arası,2,Doğalgaz (Kombi),Evet
187819,4025000,Antalya,Aksu,Altıntaş Mah.,55,1+1,,Sıfır,13,Yerden Isıtma,Evet
189712,16380000,Antalya,Alanya,,,3+1,,Sıfır,,,
203013,3950000,İzmir,Selçuk,Çamlık Mah.,280,10+2,4,2,3,Merkezi Sistem,Evet
190732,3750000,İstanbul,Esenyurt,Namık Kemal Mah.,150,3+1,2,Sıfır,25,Merkezi Sistem,Evet
190739,3575000.0,İstanbul,Kağıthane,Seyrantepe Mah.,45,1+1,1,4,,Doğalgaz (Kombi),Evet
190984,4500000,İstanbul,Üsküdar,Selamiali Mah.,140,2+1,2,30+,4,Doğalgaz (Kombi),Evet
191946,8500000,Bursa,Mudanya,Yeni Mah.,275,5+2,3,3,4,Yerden Isıtma,Evet
